,author,title,source
0,moose2271,"""Hot"" Bobby",showbot
1,Biocow,(s) Glad-eee-EEE-ator! (Like Pop-you-OOO-lar!),showbot
2,Tim Watson (TRPW),(s) Skibidi dibidi Doo where are you (Scooby Doo),YouTube
3,trpw,(v) Is it too early for a lank ballsack,showbot
4,Biocow,"Akshully, it's pr'nounced Eeee-muuuuu.""",showbot
5,ZoeBringsBacon,All The Cannibal Listeners With Bobby,YouTube
6,Searanex,Anyone else sweatin'?,YouTube
7,moose2271,Ariana Nacho Grande,showbot
8,Tim Watson (TRPW),Ask Your Doctor of Profutbal is right for you,showbot
9,Redlynx,Aussies aren't Eee-mew-used,YouTube
10,Aahz,Be prepared for Baboons!,YouTube
11,Aahzymandias,Beating the sick guy,showbot
12,moose2271,Beating the sick guy with a triple think throat coat,showbot
13,Matthew Sargent,"Big, Beefy, Dark Meat Legs",showbot
14,Red Fraggle,Blurred lines of dog sitting,showbot
15,benjin006,Clare-ificaiton,showbot
16,Benjin006,Clare-ification.,YouTube
17,Aahzymandias,Coat throating with Dunaway,showbot
18,Matthew Sargent,Columbus the Veggie-Spreader,YouTube
19,TheWraith86,Connecting With The Yoofs,showbot
20,ikcor_,Defying NDA,showbot
21,Dr.Calhoun,Do humans have white and dark meat because I really want to know,YouTube
22,Aahzymandias,Do my balls look fat?,showbot
23,moose2271,Dog sitting Only Fans bathroom,showbot
24,TheWraith86,"Doing the Maths, with Bobby",YouTube
25,trpw,Don't Get Advice Form Australians About Pronouncing Australian Animals,showbot
26,TheWraith86,"E Mew, not E Moo",YouTube
27,Searanex,Eating the entire mic,showbot
28,Searanex,Eating the mic,showbot
29,TVs Travis,"Emu. It's a liquid ""U""",showbot
30,Hootie42,English lesson from Australia,showbot
31,Matthew Sargent,Even Showbot has to Poop Sometimes,YouTube
32,Red Fraggle,Family Food,showbot
33,Matthew Sargent,"Fast Twitch, Slow Twitch with Bobby",showbot
34,Searanex,Feeling viral with Dunaway,showbot
35,trpw,Gallon O'Sauce,showbot
36,Tim Watson (TRPW),Gen Alpha Slang with Booby,YouTube
37,Stoic Squirrel,Genital Hospital,showbot
38,Aahzymandias,Give me back the beignets and get the f out,showbot
39,Aahz,Gladiator 2...the open world of Gladiator,showbot
40,Searanex,Having a game gear handy,showbot
41,Searanex,"Hey, do these look swollen to you?",YouTube
42,Aahzymandias,I like sick Dunaway,showbot
43,Redlynx,I only eat the stupid turkeys,YouTube
44,ambassador_domo,I'm Happy I Cut Off my Legs,showbot
45,trpw,I'm Not Racist But I Can't Understand Your Gibberish,showbot
46,Tom Norman,Instance Bangers,YouTube
47,WindMagus,Insulin squirts with Bobby,YouTube
48,trpw,It Pours The Absinthe On The Sugarcube Or It Gets The Hose Again,showbot
49,ikcor_,Jiggling Genitals,showbot
50,moose2271,Jiggling the genitals,showbot
51,TheWraith86,"Jingle Balls, Jingle Balls, Jingle All The Way",showbot
52,FreeRangers,Junk Jiggler,showbot
53,ambassador_domo,Just LIke a Cylon Convention,showbot
54,Ikcor,Leaning into Ugly People,showbot
55,Matthew Sargent,Learning to Speak from Aussies,YouTube
56,Matthew Sargent,Legos and Dog Poop,showbot
57,moose2271,M bating in the bathroom,showbot
58,trpw,M-Bation,showbot
59,Searanex,Making Bobby blush,showbot
60,JayFunktastic,Man of Pause,showbot
61,Aahzymandias,Manopause,showbot
62,ambassador_domo,McRib Sauce is Sold OUT!,showbot
63,Biocow,Mind if I get some work done while I watch your dog?,YouTube
64,Red Fraggle,Nice Islands of Niceness with Bobby,YouTube
65,ambassador_domo,Nickelodeon  Level Acting,showbot
66,moose2271,Nickleodeon acting,showbot
67,Biocow,Not in my back bathroom!,YouTube
68,trpw,Obi Wan's Only Fans,showbot
69,JoeGuyArt,Old Men Yell Skibidi at Clouds,showbot
70,JoeGuyArt,Old Men Yell Skibidi at Clouds.,YouTube
71,Red Fraggle,Only Villagers,showbot
72,Aahzymandias,Only fans of Villages,showbot
73,Matthew Sargent,OnlyCrosswordFans,YouTube
74,Searanex,Ozzy ass chair,YouTube
75,moose2271,"Pete, the good dude",showbot
76,moose2271,Prohipnol,showbot
77,moose2271,Pronunciation education,showbot
78,moose2271,Regular people see Gladiator,showbot
79,JayFunktastic,Science! With “Handsome” Bobby Frankenberger,showbot
80,ambassador_domo,Scott Has a 1950's Voice in his Head,showbot
81,Tim Watson (TRPW),Scott has got a PETA file,YouTube
82,ambassador_domo,Sexual Organs - Bah Bah Bah Bahhhhhh,showbot
83,Aahzymandias,Sexual Villager Exposure,showbot
84,Tim Watson (TRPW),Shut Up and Eat Your Food with Bobby,showbot
85,Windmagus,Sick Dunaway,showbot
86,ambassador_domo,Skibidi Toilet Exploring the Meaning with Bobby,showbot
87,Matthew Sargent,Skibidi Toilet and Rizz with Bobby,YouTube
88,JayFunktastic,Skibidi. What does it mean?!,YouTube
89,Aahzymandias,Slow Twitch is the best twitch,showbot
90,trpw,So Many Pornhub Titles,showbot
91,TheWraith86,Sprint Meat or Marathon Meat?,YouTube
92,trpw,Testicular Opinions,showbot
93,Ikcor,The Cylons are Thirsty,YouTube
94,JoeGuyArt,The Gallons of McRib Sauce,YouTube
95,JayFunktastic,The Propofol Museum,YouTube
96,JayFunktastic,The Wicked Gladiator,YouTube
97,trpw,Thor-Lins,showbot
98,trpw,Throat Coat,showbot
99,Talia James,Throat Coat for the Throat Goat,YouTube
100,amishoverlord,Throat goat tea,showbot
101,Aahzymandias,Throats your coat,showbot
102,Aahz,Throw another emu on the barbie,showbot
103,Aahzymandias,Throw another emu on the barbie!,showbot
104,moose2271,Topless pen yelling,showbot
105,JayFunktastic,Tryptofantastic,showbot
106,Aahzymandias,Tryptophan? More like Tryptophake!,showbot
107,Talia James,Tryptophantasy,YouTube
108,ZoeBringsBacon,Turkey All The Time With Bobby,showbot
