author,title,source,time
trpw,Scott's Weird Stain,showbot,Scraped
LukeSitewalkr2,Big Meaty Hands,showbot,Scraped
trumppoll,"Where My Knitters At, Yo?",showbot,Scraped
ZoeBringsBacon,Scott Had A Baby Last Night,showbot,Scraped
trumppoll,"Scott's Va-Jay, eww",showbot,Scraped
trpw,Splurk,showbot,Scraped
redfraggle3,Sweatering,showbot,Scraped
redfraggle3,"Barry the dog, Ralphy the cat",showbot,Scraped
trumppoll,If Scott Fits He Sits in the Box,showbot,Scraped
redfraggle3,Juh-ography,showbot,Scraped
trpw,(s) Buying Scott a Box. Buying Scott a Cardboard box (Livin in a Box),showbot,Scraped
trpw,Colder and More Painfull,showbot,Scraped
trpw,Redefining the Unhoused,showbot,Scraped
trpw,Which Switch Flipped,showbot,Scraped
ambassador_domo,Borking the Milk Up,showbot,Scraped
trpw,Barf. Problems,showbot,Scraped
LesleyHayes4, Turns out she’s just a lesbian,YouTube,2024-12-24 14:43:41.483550
Red Fraggle, Drippy Nipples,YouTube,2024-12-24 14:43:43.713137
Red Fraggle, yes and.,YouTube,2024-12-24 14:46:06.388212
Tim Watson (TRPW), The Horse Was Also A Man,YouTube,2024-12-24 14:53:26.732550
Sunbun, Pete Slider,YouTube,2024-12-24 14:59:28.644614
Gerry Tolbert, Brain Genes,YouTube,2024-12-24 15:04:39.768842
Gerry Tolbert, The Gravy is Implied,YouTube,2024-12-24 15:11:19.294136
Red Fraggle, Gravy implication,YouTube,2024-12-24 15:11:27.186846
